url_id,source_id,discovered_url,normalized_url,official_domain,discovery_method,retrieved_at
dpiit_url_e76e839197f6908882e0,DPIIT-SRC-001,https://www.dpiit.gov.in/offerings,https://www.dpiit.gov.in/offerings,www.dpiit.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_86047bf20896d899feae,DPIIT-SRC-002,https://www.dpiit.gov.in/documents/orders-and-notices,https://www.dpiit.gov.in/documents/orders-and-notices,www.dpiit.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_fa54fccc17be1318fb91,DPIIT-SRC-003,https://www.dpiit.gov.in/documents/gazettes-notifications,https://www.dpiit.gov.in/documents/gazettes-notifications,www.dpiit.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_9da8045f63603db56c15,DPIIT-SRC-004,https://www.startupindia.gov.in/,https://www.startupindia.gov.in/,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_922d99e5fcaccfec5f80,DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_99c433408283d26eddd7,DPIIT-SRC-006,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_04684b5757f0d8523b96,DPIIT-SRC-007,https://seedfund.startupindia.gov.in/,https://seedfund.startupindia.gov.in/,seedfund.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_9f03f2aa5eec0f36b7f2,DPIIT-SRC-008,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_3276ec97661f6ca604d7,DPIIT-SRC-009,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_5763daa91a3e505f4e87,DPIIT-SRC-010,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_da07f008cf31082f8a6f,DPIIT-SRC-011,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,www.ncgtc.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_46af64a16cb20bdccfbf,DPIIT-SRC-012,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,www.dpiit.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_d30889c9e8aba3a9d800,DPIIT-SRC-013,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_4249da56cfe21ea4d7f2,DPIIT-SRC-014,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_5bf7a3ca8f670e2bef62,DPIIT-SRC-015,https://www.startupindia.gov.in/bhaskar/about,https://www.startupindia.gov.in/bhaskar/about,www.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_c3253da46760a28c94d6,DPIIT-SRC-016,https://maarg.startupindia.gov.in/,https://maarg.startupindia.gov.in/,maarg.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_2f031f990a8e114c33eb,DPIIT-SRC-017,https://investorconnect.startupindia.gov.in/,https://investorconnect.startupindia.gov.in/,investorconnect.startupindia.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_a455064439b724a2abd5,DPIIT-SRC-018,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,www.dpiit.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_5a7a754ce99be84d5338,DPIIT-SRC-019,https://www.nsws.gov.in/,https://www.nsws.gov.in/,www.nsws.gov.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
dpiit_url_85cb1a0caaed6fbdcf4d,DPIIT-SRC-020,https://egazette.nic.in/,https://egazette.nic.in/,egazette.nic.in,REGISTERED_SOURCE,2026-07-21T00:00:00+05:30
