source_id,requested_url,final_url,http_status,content_type,page_title,redirected,link_count,retrieved_at,error
DPIIT-SRC-001,https://www.dpiit.gov.in/offerings,https://www.dpiit.gov.in/offerings,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,HTTPError:HTTP Error 403: Forbidden
DPIIT-SRC-002,https://www.dpiit.gov.in/documents/orders-and-notices,https://www.dpiit.gov.in/documents/orders-and-notices,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,HTTPError:HTTP Error 403: Forbidden
DPIIT-SRC-003,https://www.dpiit.gov.in/documents/gazettes-notifications,https://www.dpiit.gov.in/documents/gazettes-notifications,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,HTTPError:HTTP Error 403: Forbidden
DPIIT-SRC-004,https://www.startupindia.gov.in/,https://www.startupindia.gov.in/,200,text/html,Startup India,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-005,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,https://www.startupindia.gov.in/content/sih/en/government-schemes.html,200,text/html,Government Schemes for Startups,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-006,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,https://www.startupindia.gov.in/content/sih/en/ams-application/application-listing.html,200,text/html,Startup India Programs,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-007,https://seedfund.startupindia.gov.in/,https://seedfund.startupindia.gov.in/,200,text/html,SISFS,0,0,2026-07-21T00:00:00+05:30,
DPIIT-SRC-008,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,200,text/html,Startup Recognition & Tax Exemption,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-009,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf,200,application/pdf,,0,0,2026-07-21T00:00:00+05:30,
DPIIT-SRC-010,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,200,text/html,Credit Guarantee Scheme for Startups,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-011,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,https://www.ncgtc.in/content/products/0/20250519/FAQ_CGSS_2025_2026_37fd554fb8.pdf,200,application/pdf,,0,0,2026-07-21T00:00:00+05:30,
DPIIT-SRC-012,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/sipp-gTM1UDNtQWa,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,HTTPError:HTTP Error 403: Forbidden
DPIIT-SRC-013,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,https://www.startupindia.gov.in/content/sih/en/nsa-landing.html,200,text/html,National Startup Awards Landing,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-014,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,https://www.startupindia.gov.in/content/sih/en/bharat-startup-grand-challenge.html,200,text/html,Bharat Startup Grand Challenge | Startup India,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-015,https://www.startupindia.gov.in/bhaskar/about,https://www.startupindia.gov.in/bhaskar/about,200,text/html,BHASKAR | Startup India | About Us,0,12,2026-07-21T00:00:00+05:30,
DPIIT-SRC-016,https://maarg.startupindia.gov.in/,https://maarg.startupindia.gov.in/,200,text/html,MAARG,0,0,2026-07-21T00:00:00+05:30,
DPIIT-SRC-017,https://investorconnect.startupindia.gov.in/,https://investorconnect.startupindia.gov.in/,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1032)>
DPIIT-SRC-018,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,https://www.dpiit.gov.in/offerings/schemes-and-services/details/startup-india-initiative-MTMzYDNtQWa,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,HTTPError:HTTP Error 403: Forbidden
DPIIT-SRC-019,https://www.nsws.gov.in/,https://www.nsws.gov.in/,200,text/html,India’s National Single Window System for Business Approvals | NSWS,0,25,2026-07-21T00:00:00+05:30,
DPIIT-SRC-020,https://egazette.nic.in/,https://egazette.nic.in/,FETCH_FAILED,,,0,0,2026-07-21T00:00:00+05:30,URLError:<urlopen error [Errno 11001] getaddrinfo failed>
