relationship_candidate_id,child_provisional_entity_id,child_name,child_entity_type,parent_name_text,relationship_type,relationship_confidence,evidence_text,source_page_id,source_url,resolution_status,curation_status
dst_hierarchy_e665c764f72d0596a93c,dst_provisional_programme_27d0a619a0aefe1ab6e1,State Science & Technology Programme,PROGRAMME,"post-Geographical Indication (GI) activities, facilitated the introduction of QR codes",POSSIBLE_COMPONENT_OF,0.6500,"State Science & Technology Programme Introduction: The State Science and Technology Programme (SSTP) fosters Centre-State S&T cooperation through support to State/Union Territory (UT) Science & Technology Councils to catalyse the Science Technology and Innovation (STI) ecosystem at their State/UT level. Additionally, the programme extends assistance to the dedicated centres at the S&T Councils, for facilitating activities related to Intellectual Property Rights (IPR) and contributing to the strengthening of the IP ecosystem. Objective: To catalyse STI ecosystem in the States/UTs To enhance the",dst_page_fe86d41bc1eb464a77b3,https://dst.gov.in/state-science-technology-programme-0,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_11c9d5063a0bda79b1c4,dst_provisional_programme_b18094ae0e1853419e1e,National Quantum Mission,PROGRAMME,"NQM ""152 researchers from 43 Institutions (Lead & Member) across 17 states and 2 UTs involved in the 14 TGs"" Startup support under NQM The NQM has actively engaged",POSSIBLE_COMPONENT_OF,0.6500,"National Quantum Mission (NQM) The Union Cabinet, approved the National Quantum Mission (NQM) on 19 th April 2023 at a total cost of Rs.6003.65 crore from 2023-24 to 2030-31, aiming to seed, nurture and scale up scientific and industrial R&D and create a vibrant & innovative ecosystem in Quantum Technology (QT). This will accelerate QT led economic growth, nurture the ecosystem in the country and make India one of the leading nations in the development of Quantum Technologies & Applications (QTA). The Mission objectives include developing intermediate-scale quantum computers with 50-1000 physi",dst_page_75a228ee94f401de7363,https://dst.gov.in/national-quantum-mission-nqm,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_3a7c8da97460a865ed7d,dst_provisional_programme_a5dad6324fc5938214dc,Technology Development and Transfer,PROGRAMME,technology development project shall be considered,POSSIBLE_COMPONENT_OF,0.6500,"Technology Development and Transfer Technology Development Programmes One of the key objectives of the Department is to promote technology development in various fields. The Department has been supporting Technology development projects which include materials, devices and processes. The Programme supports activities aimed at developing technologies both in the advanced/emerging areas and in traditional sectors/areas. Under the Programme, feasibility of fresh ideas/ concepts is also assessed for their potential conversion into useful technology/product. Mandate of TDP The mandate of Technology",dst_page_39f3a0e55eaa68c8d3d0,https://dst.gov.in/technology-development-and-transfer,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_848298f8d9f8b0b1169d,dst_provisional_programme_db90b2cfe99e88b0ee4c,National Geospatial Programme (erstwhile NRDMS),PROGRAMME,division– 1,POSSIBLE_COMPONENT_OF,0.6500,"National Geospatial Programme (erstwhile NRDMS) Natural Resources Data Management System (NRDMS) which was initiated in 1982, an interdisciplinary research programme has promoted R&D in emerging areas of Geospatial Science, Technology and providing geospatial solutions to area specific problems. Over the years, NRDMS has successfully demonstrated utilities of Geospatial Technologies in decision making and developed capacity for geospatial data and information management at State, District and local levels at pilot scale. Considering the changing requirements of Geospatial Science & Technology",dst_page_e6bbfbc5e3648f6edcf6,https://dst.gov.in/national-geospatial-programme-erstwhile-nrdms,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_28f7e0d96a45012ed2f7,dst_provisional_programme_60ddbd2fb5f2e1350686,Cognitive Science Research Initiative,PROGRAMME,CSRI,POSSIBLE_COMPONENT_OF,0.6500,"Cognitive Science Research Initiative (CSRI) Cognitive Science is the study of human mind and brain, focusing on how mind represents and manipulates knowledge and how mental representations and processes are realized in the brain. The field is highly transdisciplinary in nature, combining ideas, principles and methods of psychology, computer science, linguistics, philosophy, neuroscience etc. In Indian scenario which is full of diversity, it is important to foster scientific research in interdisciplinary field of Cognitive Science for better understanding of Indian mind sets, languages and cog",dst_page_480658cfa02d31bea92c,https://dst.gov.in/cognitive-science-research-initiative-csri,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_224958bb4195f7cf0b6a,dst_provisional_scheme_ba3faa8153c1c06bdffc,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,SCHEME,are intended to support the efforts of the Department as a whole or a number of faculty members in the Department,POSSIBLE_COMPONENT_OF,0.6500,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST) The Scheme “Fund for Improvement of S&T Infrastructure (FIST)” is intended to provide basic infrastructure and enabling facilities for promoting R&D activities in new and emerging areas and attracting fresh talents in universities & other educational institutions. It is considered as complimentary support for enabling Departments/ Centres/ Schools/ Colleges to pursue research activities more effectively and efficiently. DST is restructuring the immensely successful FIST programme to orient it,dst_page_2670905684740b037ae1,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_47fa6fc5ecb0c3670440,dst_provisional_programme_c7681b03264f485ab9a9,Promotion of University Research and Scientific Excellence,PROGRAMME,PURSE have been communicated to promote optimal utilization of these resources through a public notice,POSSIBLE_COMPONENT_OF,0.6500,"Promotion of University Research and Scientific Excellence(PURSE) "" Promotion of University Research and Scientific Excellence (PURSE )"" is one of the Flagship Infrastructure programs of Department of Science and Technology, which was commenced in the year 2009 exclusively for the University sector. The main objective of the scheme is to strengthen the research capacity of performing Indian Universities and provide support for nurturing the research ecosystem and strengthening the R&D base of the Universities in the country. Department of Science & Technology has restructured and re-oriented P",dst_page_06950946e6ce73c40845,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_f14b74fa0cbdfb66db6f,dst_provisional_programme_2cb7fbf01a6e1098d011,Synergistic Training program Utilizing the Scientific and Technological Infrastructure,PROGRAMME,Results of DST STUTI 2021 Program Proposals Recommended 259,POSSIBLE_COMPONENT_OF,0.6500,"Synergistic Training program Utilizing the Scientific and Technological Infrastructure (STUTI) The Scheme ‘SynergisticTraining program Utilizing the Scientific and Technological Infrastructure’ (STUTI) is intended to build human resource and its knowledge capacity through open access S&T Infrastructure across the country. As a complement to the various schemes of DST funding for expansion of R&D Infrastructure at academic institutions, STUTI scheme envisions a hands-on training program and sensitization of the state-of-the-art equipment as well as towards sharing while ensuring transparent acc",dst_page_15b5bba75f19b05e22fa,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_feca9844056e30bda686,dst_provisional_scheme_10827dc007fc6d5e687f,Mega Facilities for Basic Research Scheme,SCHEME,Mega Science Programme from 01,POSSIBLE_COMPONENT_OF,0.6500,"Mega Facilities for Basic Research Scheme This scheme is aimed to create mega facilities and launch mega projects in and out of the country to improve access to such state-of-the-art facilities for the Indian scientific community, especially from the academic sector for pursuing basic research. Because of technical complexities and requirement of large resources, such projects are manifestly multi-agency, multi-institutional and, quite often, international in character. The Department of Science and Technology (DST) and the Department of Atomic Energy (DAE) have been jointly promoting most of",dst_page_20dfeeb17abaf5c023fd,https://dst.gov.in/mega-facilities-basic-research-scheme,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_50606679935a37a347e6,dst_provisional_programme_629f69d1c1a7a7ea1ad8,Policy Research Cell,PROGRAMME,programme along,POSSIBLE_COMPONENT_OF,0.6500,"Policy Research Cell Department of Science and Technology, GoI is mandated to formulate and deliver public policy support for the promotion of STI in the country. The department during the 12th five-year plan initiated a Policy Research Cell (PRC) programme in 2013 with the aim to develop and deliver the public policy support to strengthen the science, technology and innovations in the country. The key objectives of the programme are as below; Generating evidence-based input for Policy& Panning. Creating critical mass of policy researchers in the country Currently the programme is implemented",dst_page_fb8fe784b5fbaa540e70,https://dst.gov.in/policy-research-cell,UNRESOLVED_PARENT_TEXT,PROVISIONAL
dst_hierarchy_c3a3d6febd4264064e10,dst_provisional_programme_3b11744b1aff9aac1bba,Archive,PROGRAMME,their Scientific Social Responsibility (SSR) through ongoing projects,POSSIBLE_COMPONENT_OF,0.6500,"Archive 6. Community Resilience Resource Centre (CRRC) The COVID-19 crisis has impacted the social, occupational, and financial infrastructure of the community. In order to combat the situation of COVID a programme for establishing CCRRCs was initiated in 2021 for building resilience among the community an extremely important need that emerged as the major challenge during the second wave of COVID-19. The programme aims to provide STI based interventions to supplement various other initiatives for prevention, protection, mitigation, response and recovery measures during COVID and Post COVID re",dst_page_ffc6db5c71d06a196c12,https://dst.gov.in/archive,UNRESOLVED_PARENT_TEXT,PROVISIONAL
