alias_id,master_id,alias_text,alias_type,alias_confidence,source_url,status,identity_lock_version
dst_alias_c47d5e8f35137bd95b35,dst_programme_b690fc69ae2a2d823756,NM-ICPS,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,LOCKED_ALIAS,3.4.0.4
dst_alias_7939acefa9895dd4d96f,dst_programme_b690fc69ae2a2d823756,National Mission on Interdisciplinary Cyber Physical Systems (NM-ICPS),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/national-mission-interdisciplinary-cyber-physical-systems-nm-icps,LOCKED_ALIAS,3.4.0.4
dst_alias_247cd639858cc6b4458f,dst_programme_434e320048081d2c91d8,NQM,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/national-quantum-mission-nqm,LOCKED_ALIAS,3.4.0.4
dst_alias_aeb525ff805734718982,dst_programme_434e320048081d2c91d8,National Quantum Mission (NQM),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/national-quantum-mission-nqm,LOCKED_ALIAS,3.4.0.4
dst_alias_8b3293f155f510d46221,dst_programme_845b166f05bf768bcc69,NSM,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/national-supercomputing-mission-1,LOCKED_ALIAS,3.4.0.4
dst_alias_9aed2c7ee122f3ea02b9,dst_programme_fd5ddc89e4e40e2853e2,NSTEDB,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-science-technology-entrepreneurship-development-board-nstedb,LOCKED_ALIAS,3.4.0.4
dst_alias_736e09bae8b523a2d933,dst_scheme_8bac813a86732c602cc2,FIST,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,LOCKED_ALIAS,3.4.0.4
dst_alias_dede9629f49c6cdf278c,dst_scheme_8bac813a86732c602cc2,Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions (FIST),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/scientific-programmes/scientific-engineering-research/fund-improvement-st-infrastructure-higher-educational-institutions-fist,LOCKED_ALIAS,3.4.0.4
dst_alias_31fe1a09928bc6a8fccc,dst_programme_84b6b59a2ba5338c5e92,PURSE,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,LOCKED_ALIAS,3.4.0.4
dst_alias_be4246e581574a56eff4,dst_programme_84b6b59a2ba5338c5e92,Promotion of University Research and Scientific Excellence(PURSE),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/promotion-university-research-and-scientific-excellence-purse,LOCKED_ALIAS,3.4.0.4
dst_alias_54ade4b966dfc1adc174,dst_programme_b2115f0d42d44315493a,SAIF,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/sophisticated-analytical-instrument-facilities-saif-programme,LOCKED_ALIAS,3.4.0.4
dst_alias_960d7173551ce8f8594c,dst_programme_9c8f082864566558e4ff,STUTI,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,LOCKED_ALIAS,3.4.0.4
dst_alias_40d4bbfb6b11823e8f52,dst_programme_9c8f082864566558e4ff,Synergistic Training program Utilizing the Scientific and Technological Infrastructure (STUTI),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/synergistic-training-program-utilizing-scientific-and-technological-infrastructure-stuti,LOCKED_ALIAS,3.4.0.4
dst_alias_13197a3aa2e84819a4fd,dst_programme_6108a336121d3ad5c780,SUPREME,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,LOCKED_ALIAS,3.4.0.4
dst_alias_81ef359450f8d9a5935e,dst_programme_6108a336121d3ad5c780,Support for Up-gradation Preventive Repair & Maintenance of Equipment (SUPREME),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/scientific-programmes/support-gradation-preventive-repair-maintenance-equipment-supreme,LOCKED_ALIAS,3.4.0.4
dst_alias_77c8994d8ba9ae2b2830,dst_programme_3d2b842cedbcdf64ff77,WISE-KIRAN,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/scientific-programmes/wise-kiran,LOCKED_ALIAS,3.4.0.4
dst_alias_ecba8dcd0814c45a6af0,dst_programme_3d2b842cedbcdf64ff77,Women in Science and Engineering-KIRAN (WISE-KIRAN),OFFICIAL_PAGE_TITLE_VARIANT,0.7800,https://dst.gov.in/scientific-programmes/wise-kiran,LOCKED_ALIAS,3.4.0.4
dst_alias_a894125a8097d16e76d9,dst_programme_3972ee5052b4782c8810,PRC,OFFICIAL_ABBREVIATION_CANDIDATE,0.9000,https://dst.gov.in/policy-research-cell,LOCKED_ALIAS,3.4.0.4
