review_id,candidate_id,existing_master_id,title,canonical_url,provisional_classification,confidence,parent_hint,review_reasons,llm_classification,llm_confidence,llm_reason,review_status,publication_status
meity_review_9f4b62e63e0b40e9,meity_9f4b62e63e0b40e94b00,,6 1 4 9 +,https://msh.meity.gov.in/,CALL_INSTANCE_CANDIDATE,0.78,,CALL_COHORT_CHALLENGE_SIGNAL,SCHEME_MASTER_CANDIDATE,0.7,"The page contains information about various programs, resources, and initiatives related to the startup ecosystem, which suggests it might be a master page for schemes or programs.",OPEN,NOT_PUBLISHED
meity_review_cf5258189ae09295,meity_cf5258189ae09295fda4,,,https://api.meity.gov.in/whatsnew-docs/50d42de6-d35d-455b-aa4e-f554180f5d17.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme or programme master.,OPEN,NOT_PUBLISHED
meity_review_eaf5807199a20d60,meity_eaf5807199a20d6067eb,,,https://api.meity.gov.in/whatsnew-docs/e9d8ecd5-8384-47d0-b840-3841b4a533e9.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme or programme master.,OPEN,NOT_PUBLISHED
meity_review_7d0f24cf2b7b07a4,meity_7d0f24cf2b7b07a4a235,,,https://api.meity.gov.in/whatsnew-docs/51443b87-508f-42fb-b0b6-b359ed2e48a2.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme master or programme.,OPEN,NOT_PUBLISHED
meity_review_cced613b4748fedd,meity_cced613b4748fedd589e,,,https://api.meity.gov.in/whatsnew-docs/a98f35d7-ecc9-45f2-aec6-1ecf4cf26efb.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme or programme master.,OPEN,NOT_PUBLISHED
meity_review_4a14bf135b7ee895,meity_4a14bf135b7ee89503d5,,,https://api.meity.gov.in/whatsnew-docs/511dfdfd-132a-45a8-a209-afef5e847fe6.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_a2fdc7b4ff4c6247,meity_a2fdc7b4ff4c62471986,,,https://api.meity.gov.in/whatsnew-docs/abdf7517-b7ba-495e-86c3-10b68b15ef72.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain clear information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_0d8fd7adfadf2d40,meity_0d8fd7adfadf2d400cc9,,,https://api.meity.gov.in/whatsnew-docs/777fd952-b6d9-44ce-afe8-c9ad07da77da.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme or programme master page.,OPEN,NOT_PUBLISHED
meity_review_07892c44d6bcfaa5,meity_07892c44d6bcfaa5f9b3,,,https://api.meity.gov.in/whatsnew-docs/8d5409f5-d26c-4697-b10e-5f6fb2d583ef.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL appears to be a document download page rather than a permanent scheme or programme master page.,OPEN,NOT_PUBLISHED
meity_review_c483121e38eff348,meity_c483121e38eff348431d,,,https://api.meity.gov.in/whatsnew-docs/a0faffb5-ffd9-4448-a936-1936143bd8a3.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme master or call instance.,OPEN,NOT_PUBLISHED
meity_review_55b4539bfb242a62,meity_55b4539bfb242a627eed,,,https://api.meity.gov.in/whatsnew-docs/842d78cb-c09e-4002-afe8-690a435703f7.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme master or call instance.,OPEN,NOT_PUBLISHED
meity_review_3f2d38858dd7aacb,meity_3f2d38858dd7aacb259b,,,https://api.meity.gov.in/whatsnew-docs/1efd4d7b-998c-4393-aa84-7a4bdb8a0ff2.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_ac2e918e07b7a814,meity_ac2e918e07b7a81444b0,,,https://api.meity.gov.in/whatsnew-docs/3765255f-589c-440d-9607-e3f75508cf68.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_d38e627d51037b9c,meity_d38e627d51037b9c4f9f,,,https://api.meity.gov.in/whatsnew-docs/f8216800-5868-4526-a3b9-dff815e5b2f4.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_b55171b153f1cd6d,meity_b55171b153f1cd6d3fef,,,https://api.meity.gov.in/whatsnew-docs/95342913-3abb-424c-8bc0-07e66098c4cd.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_30c5766534c931c3,meity_30c5766534c931c35310,,,https://api.meity.gov.in/whatsnew-docs/7b207158-0780-46fb-bba5-82b3bdb40dbd.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_35720c8e7dbbfe18,meity_35720c8e7dbbfe18d05c,,,https://api.meity.gov.in/whatsnew-docs/1f38c12e-d768-4567-8706-5d03020e5494.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_869aada48188723d,meity_869aada48188723d1877,,,https://api.meity.gov.in/whatsnew-docs/930a611b-89d4-4a46-a688-69ad0141a409.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_ed7fe4e0279ef263,meity_ed7fe4e0279ef263d53f,,,https://api.meity.gov.in/whatsnew-docs/b0310b35-0e91-4d37-9212-9783768aa68e.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain explicit information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_62ab16e97673bfbc,meity_62ab16e97673bfbc81d1,,,https://api.meity.gov.in/whatsnew-docs/e713ddc3-19e0-4e2d-88d0-9a3d6d0b0fa4.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL is a PDF document and does not contain sufficient information to classify it as a scheme master or programme.,OPEN,NOT_PUBLISHED
meity_review_d09656085af5414e,meity_d09656085af5414ea7e5,,MeityStartupHub,https://msh.meity.gov.in/about/organisationprofile,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,NON_CATALOGUE,0.8,The provided page is an about us or organizational profile page and does not contain information specific to a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_7a56b544680fc510,meity_7a56b544680fc510f924,,"The Ministry of Electronics and Information Technology (MeitY) launched MeitY Mitra, India’s first-ever AI chatbot integrated into a government website, enhancing accessibility and user support.",https://msh.meity.gov.in/media/press-release-all,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,EVIDENCE_ONLY,0.8,The provided page does not contain information about a permanent scheme or programme but rather news and updates.,OPEN,NOT_PUBLISHED
meity_review_795d4af9fe3264cb,meity_795d4af9fe3264cb1ec3,,MeityStartupHub,https://msh.meity.gov.in/event-partner,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,NON_CATALOGUE,0.8,The page contains event and partnership details but does not list any permanent schemes or programmes.,OPEN,NOT_PUBLISHED
meity_review_d21e57fa37ee3754,meity_d21e57fa37ee3754ba4c,,Welcome to the G20 Digital Innovation Alliance Summit!,https://msh.meity.gov.in/g20dia/g20diaoverview,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,NON_CATALOGUE,0.8,The provided page does not contain information related to a specific scheme or programme but rather an overview of the G20 Digital Innovation Alliance Summit.,OPEN,NOT_PUBLISHED
meity_review_4ba255e00471557f,meity_4ba255e00471557ffff0,,G20 DIA EXPO,https://msh.meity.gov.in/g20dia/exhibition,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,EVIDENCE_ONLY,0.8,The page does not describe a permanent scheme or programme but rather an event and exhibition.,OPEN,NOT_PUBLISHED
meity_review_432e260609c07715,meity_432e260609c07715af1e,,Conference,https://msh.meity.gov.in/g20dia/the-summit,CALL_INSTANCE_CANDIDATE,0.78,147173e17ea741687247,CALL_COHORT_CHALLENGE_SIGNAL,EVIDENCE_ONLY,0.8,The provided page is a conference event description and does not detail a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_dff7823ebd3082a7,meity_dff7823ebd3082a75908,,,https://api.meity.gov.in/selectedfile_path,MANUAL_REVIEW,0.1,,FETCH_ERROR,NON_CATALOGUE,0.8,The provided URL does not contain sufficient information to classify as a scheme or programme master page.,OPEN,NOT_PUBLISHED
meity_review_40b7b1569ceb8c61,meity_40b7b1569ceb8c612427,,,https://api.meity.gov.in/partnership/selectedfile_path,MANUAL_REVIEW,0.1,,FETCH_ERROR,NON_CATALOGUE,0.8,The provided URL does not contain typical elements of a permanent scheme or programme page.,OPEN,NOT_PUBLISHED
meity_review_68a74f1b925725b3,meity_68a74f1b925725b369c8,,,https://api.meity.gov.in/newsletter/list/newsletter-docs/1723a271-ea55-4867-880c-ad418fed329a.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.8,The provided URL is a PDF of a newsletter and does not contain information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
meity_review_f6924d85f905e494,meity_f6924d85f905e494c25f,,,https://api.meity.gov.in/newsletter/list/newsletter-docs/375d45ea-f1bb-407a-bb54-d3a48de48d57.pdf,MANUAL_REVIEW,0.1,,FETCH_ERROR,EVIDENCE_ONLY,0.85,The provided URL points to a newsletter PDF and does not contain information about a permanent scheme or programme.,OPEN,NOT_PUBLISHED
